날짜,코로나,홈까페,커피머신
2021-02-05,6.68223,28.57142,43.62809
2021-02-06,6.90421,30.68783,45.31384
2021-02-07,5.61325,31.21693,50.23301
2021-02-08,7.09574,30.68783,43.5533
2021-02-09,7.17586,31.21693,39.13468
2021-02-10,6.82502,15.34391,35.33743
2021-02-11,6.53613,27.51322,39.37057
2021-02-12,6.32844,28.04232,44.67522
2021-02-13,9.48092,39.15343,44.34727
2021-02-14,6.74119,35.44973,51.85547
2021-02-15,8.00188,33.33333,46.97083
2021-02-16,7.38206,23.28042,48.6163
2021-02-17,12.22272,32.27513,43.31166
2021-02-18,10.99145,30.68783,44.0596
2021-02-19,8.73264,20.63492,40.71687
2021-02-20,6.50048,23.80952,40.62482
2021-02-21,5.82745,28.04232,44.80754
2021-02-22,7.17957,12.16931,38.63414
2021-02-23,6.56383,23.28042,40.10701
2021-02-24,6.30182,25.92592,36.05086
2021-02-25,6.12649,35.97883,36.09113
2021-02-26,6.39702,21.69312,33.49634
2021-02-27,4.66871,20.10582,37.55825
2021-02-28,4.67568,28.04232,40.01495
2021-03-01,4.48713,26.45502,48.7026
2021-03-02,5.7202,22.75132,39.37057
2021-03-03,5.31621,13.22751,36.26373
2021-03-04,5.2817,16.93121,38.66866
2021-03-05,5.41457,18.51851,35.61935
2021-03-06,4.52284,22.22222,43.32316
2021-03-07,4.22683,33.33333,44.80754
2021-03-08,5.508,25.39682,38.29468
2021-03-09,5.12523,21.69312,37.40291
2021-03-10,5.31382,19.57671,37.75962
2021-03-11,5.29884,18.51851,35.6136
2021-03-12,5.59872,17.46031,36.20044
2021-03-13,4.04215,21.69312,53.0004
2021-03-14,4.21611,24.33862,54.84724
2021-03-15,5.00241,21.16402,45.03768
2021-03-16,4.66602,32.80423,41.86755
2021-03-17,4.5612,19.57671,42.46015
2021-03-18,4.43538,16.93121,40.87221
2021-03-19,4.14589,16.40211,37.70208
2021-03-20,3.39553,23.80952,43.65111
2021-03-21,3.36001,34.92063,48.79466
2021-03-22,4.39254,13.75661,41.93659
2021-03-23,4.02548,29.10052,39.18646
2021-03-24,4.21114,27.51322,38.04729
2021-03-25,4.16524,30.68783,34.98072
2021-03-26,4.4055,14.28571,36.24072
2021-03-27,3.95314,34.92063,45.98699
2021-03-28,3.75611,28.57142,46.52206
2021-03-29,4.73819,22.22222,43.56481
2021-03-30,4.30165,19.04761,40.88372
2021-03-31,4.46819,24.33862,39.18646
2021-04-01,5.34705,16.93121,36.51113
2021-04-02,5.05073,22.75132,38.89304
2021-04-03,3.76127,33.33333,49.57137
2021-04-04,4.3191,33.86243,48.16753
2021-04-05,6.46076,22.75132,43.40947
2021-04-06,5.97306,21.69312,41.09084
2021-04-07,9.29371,25.39682,39.68126
2021-04-08,12.78932,19.57671,38.1451
2021-04-09,11.66354,23.28042,37.02318
2021-04-10,6.50332,29.10052,37.48345
2021-04-11,5.85906,28.04232,44.77302
2021-04-12,7.49543,34.39153,43.85823
2021-04-13,6.19145,31.74603,38.17386
2021-04-14,7.90953,25.92592,38.75496
2021-04-15,7.00424,32.80423,45.70508
2021-04-16,5.97976,29.62962,35.47551
2021-04-17,4.39863,35.97883,37.15551
2021-04-18,4.39496,38.09523,42.35084
2021-04-19,5.61454,36.50793,39.12893
2021-04-20,5.05291,28.04232,37.23606
2021-04-21,5.83998,31.21693,35.09579
2021-04-22,5.92583,31.21693,34.76209
2021-04-23,7.84011,16.93121,32.20182
2021-04-24,5.78744,22.22222,34.67004
2021-04-25,5.09307,29.10052,37.78263
2021-04-26,6.64735,24.33862,35.93579
2021-04-27,5.74068,21.69312,34.34209
2021-04-28,5.83468,31.21693,34.16949
2021-04-29,5.0671,23.28042,35.58483
2021-04-30,4.73779,18.51851,34.45141
2021-05-01,3.36333,21.16402,40.7629
2021-05-02,3.21116,22.75132,39.08866
2021-05-03,4.22141,23.80952,38.72619
2021-05-04,3.91511,24.86772,35.43524
2021-05-05,3.23376,20.63492,36.35003
2021-05-06,3.90418,26.45502,35.23387
2021-05-07,3.60528,23.28042,32.81744
2021-05-08,3.12207,26.98412,36.98291
2021-05-09,2.87306,30.68783,37.97249
2021-05-10,3.8133,37.56613,35.23962
2021-05-11,3.6907,30.15873,33.10511
2021-05-12,3.64727,20.10582,32.44922
2021-05-13,3.81876,19.57671,30.34923
2021-05-14,3.92618,26.98412,27.90978
2021-05-15,2.74009,28.57142,31.32731
2021-05-16,2.56032,30.15873,38.19688
2021-05-17,3.41057,29.62962,35.59634
2021-05-18,3.13888,23.80952,29.75663
2021-05-19,2.53346,22.22222,30.0558
2021-05-20,3.09414,18.51851,32.28237
2021-05-21,3.20123,15.34391,29.71635
2021-05-22,2.5389,25.92592,29.26183
2021-05-23,2.3319,28.57142,32.28813
